disruption_id,service_code,operator,disruption_type,start_time,duration_min,severity,affected_stops,resolved
D000081,N23,StarRoute Services,Special Event,2024-10-21 03:08:00,37,High,9,True
D000082,N15,NightLine Ltd,Road Closure,2024-11-28 01:17:00,48,High,9,True
D000083,N26,UrbanNight Express,Special Event,2024-12-29 04:32:00,143,Medium,16,False
D000084,N16,NightLine Ltd,Vehicle Breakdown,2024-11-01 04:08:00,163,Medium,14,True
D000085,N28,NightLine Ltd,Vehicle Breakdown,2024-10-14 00:25:00,166,Medium,1,True
D000086,N23,MidCity Transit,Vehicle Breakdown,2024-12-31 02:32:00,82,High,9,True
D000087,N5,Capital Night Buses,Police Incident,2024-10-12 22:41:00,100,Low,19,True
D000088,N12,UrbanNight Express,Road Closure,2024-10-19 04:43:00,149,Medium,3,True
D000089,N18,Capital Night Buses,Special Event,2024-12-20 01:45:00,108,High,11,True
D000090,N18,Capital Night Buses,Flooding,2024-10-28 01:26:00,61,Low,8,True
D000091,N28,Capital Night Buses,Police Incident,2024-11-13 02:31:00,135,Medium,1,True
D000092,N23,StarRoute Services,Accident,2024-11-23 04:18:00,169,Low,17,True
D000093,N2,NightLine Ltd,Vehicle Breakdown,2024-11-21 04:28:00,135,Low,12,False
D000094,N18,NightLine Ltd,Police Incident,2024-10-10 23:58:00,42,Low,8,False
D000095,N13,StarRoute Services,Special Event,2024-11-30 23:44:00,143,Low,12,True
D000096,N9,Capital Night Buses,Police Incident,2024-12-25 05:19:00,111,Medium,14,True
D000097,N29,UrbanNight Express,Vehicle Breakdown,2024-10-05 02:12:00,88,Medium,14,True
D000098,N11,Capital Night Buses,Police Incident,2024-11-23 03:56:00,105,Low,3,True
D000099,N29,MidCity Transit,Police Incident,2024-12-20 01:20:00,128,Low,10,True
D000100,N11,StarRoute Services,Flooding,2024-11-08 05:19:00,126,Medium,4,True
D000101,N4,MidCity Transit,Special Event,2024-11-01 04:42:00,96,Low,7,True
D000102,N3,StarRoute Services,Special Event,2024-12-29 05:28:00,177,Low,19,True
D000103,N11,StarRoute Services,Road Closure,2024-11-15 05:28:00,77,Medium,19,False
D000104,N15,StarRoute Services,Vehicle Breakdown,2024-11-02 04:34:00,50,High,11,True
D000105,N23,Capital Night Buses,Police Incident,2024-11-04 02:26:00,110,Medium,3,True
D000106,N26,Capital Night Buses,Police Incident,2024-10-18 02:28:00,158,Medium,14,True
D000107,N8,StarRoute Services,Police Incident,2024-10-26 01:08:00,108,Medium,16,True
D000108,N2,Capital Night Buses,Vehicle Breakdown,2024-10-10 01:03:00,94,Low,10,True
D000109,N3,MidCity Transit,Flooding,2024-11-15 23:39:00,137,Low,2,True
D000110,N19,Capital Night Buses,Flooding,2024-11-02 00:32:00,175,Low,7,True
D000111,N15,NightLine Ltd,Vehicle Breakdown,2024-11-10 03:28:00,85,Low,19,True
D000112,N12,UrbanNight Express,Road Closure,2024-10-22 02:02:00,163,High,15,True
D000113,N14,Capital Night Buses,Vehicle Breakdown,2024-11-30 05:29:00,19,Medium,10,True
D000114,N6,MidCity Transit,Vehicle Breakdown,2024-10-17 03:18:00,131,Medium,2,True
D000115,N29,NightLine Ltd,Vehicle Breakdown,2024-10-30 04:15:00,119,Low,1,True
D000116,N7,StarRoute Services,Accident,2024-10-04 22:38:00,120,Low,4,True
D000117,N22,NightLine Ltd,Road Closure,2024-12-31 22:35:00,63,Medium,19,True
D000118,N2,Capital Night Buses,Vehicle Breakdown,2024-10-29 22:16:00,67,High,5,True
D000119,N8,MidCity Transit,Police Incident,2024-12-31 05:02:00,8,Low,10,True
D000120,N21,NightLine Ltd,Flooding,2024-12-20 01:32:00,154,Low,16,True
D000121,N27,Capital Night Buses,Police Incident,2024-10-12 05:31:00,170,Medium,10,True
D000122,N4,NightLine Ltd,Road Closure,2024-12-12 04:32:00,69,Medium,3,True
D000123,N21,MidCity Transit,Accident,2024-11-23 00:57:00,28,Medium,19,True
D000124,N28,Capital Night Buses,Road Closure,2024-12-17 00:40:00,86,Medium,5,True
D000125,N13,StarRoute Services,Police Incident,2024-10-31 02:09:00,63,High,16,True
D000126,N10,MidCity Transit,Flooding,2024-10-12 23:26:00,165,Low,14,True
D000127,N6,StarRoute Services,Road Closure,2024-12-27 02:14:00,78,Low,13,True
D000128,N18,StarRoute Services,Road Closure,2024-11-14 23:07:00,69,Low,13,False
D000129,N5,StarRoute Services,Accident,2024-10-24 23:11:00,179,Medium,18,False
D000130,N6,Capital Night Buses,Special Event,2024-12-23 22:48:00,59,Low,12,True
D000131,N9,NightLine Ltd,Police Incident,2024-11-08 00:04:00,73,Low,10,True
D000132,N27,UrbanNight Express,Accident,2024-11-14 03:18:00,164,Low,13,False
D000133,N11,UrbanNight Express,Special Event,2024-10-28 22:26:00,162,Low,12,True
D000134,N14,Capital Night Buses,Accident,2024-11-15 05:28:00,152,Medium,13,True
D000135,N16,NightLine Ltd,Road Closure,2024-11-24 03:53:00,13,Low,17,True
D000136,N10,MidCity Transit,Special Event,2024-12-24 01:37:00,22,Low,8,False
D000137,N12,NightLine Ltd,Flooding,2024-10-26 05:37:00,117,Low,9,False
D000138,N23,UrbanNight Express,Flooding,2024-11-25 01:02:00,177,Medium,14,True
D000139,N19,NightLine Ltd,Special Event,2024-11-11 01:17:00,14,Low,18,True
D000140,N13,MidCity Transit,Vehicle Breakdown,2024-11-26 03:12:00,91,Low,18,True
D000141,N3,StarRoute Services,Accident,2024-11-12 22:19:00,122,Low,17,True
D000142,N8,Capital Night Buses,Vehicle Breakdown,2024-10-22 00:01:00,154,Low,5,True
D000143,N3,StarRoute Services,Special Event,2024-11-22 22:18:00,127,Low,5,True
D000144,N30,NightLine Ltd,Accident,2024-12-09 04:27:00,127,High,11,True
D000145,N29,MidCity Transit,Police Incident,2024-10-02 05:27:00,156,High,9,True
D000146,N15,Capital Night Buses,Vehicle Breakdown,2024-10-20 00:41:00,176,Low,10,False
D000147,N18,MidCity Transit,Road Closure,2024-10-01 01:45:00,122,High,15,True
D000148,N28,StarRoute Services,Flooding,2024-12-01 00:05:00,15,Low,10,True
D000149,N15,StarRoute Services,Flooding,2024-12-19 05:46:00,114,Low,1,True
D000150,N22,UrbanNight Express,Road Closure,2024-10-30 23:38:00,171,Low,14,True
D000151,N26,MidCity Transit,Vehicle Breakdown,2024-11-26 02:55:00,132,Low,7,True
D000152,N18,NightLine Ltd,Flooding,2024-12-24 04:56:00,59,Low,17,True
D000153,N6,StarRoute Services,Special Event,2024-10-24 04:34:00,24,Low,14,True
D000154,N8,StarRoute Services,Police Incident,2024-12-31 05:56:00,40,High,14,True
D000155,N28,StarRoute Services,Police Incident,2024-11-02 04:57:00,88,High,8,True
D000156,N7,NightLine Ltd,Special Event,2024-12-23 05:03:00,55,Medium,12,True
D000157,N2,UrbanNight Express,Police Incident,2024-10-04 23:12:00,85,Medium,1,True
D000158,N10,StarRoute Services,Flooding,2024-11-12 02:12:00,145,Medium,7,True
D000159,N20,UrbanNight Express,Accident,2024-11-05 01:12:00,98,Low,1,True
D000160,N17,UrbanNight Express,Road Closure,2024-12-27 04:24:00,41,Medium,3,True
D000161,N8,MidCity Transit,Vehicle Breakdown,2024-12-28 02:23:00,113,Low,12,True
D000162,N2,NightLine Ltd,Accident,2024-11-01 05:06:00,20,Low,15,True
D000163,N5,UrbanNight Express,Road Closure,2024-10-13 05:51:00,122,Medium,4,True
D000164,N8,MidCity Transit,Accident,2024-11-23 01:33:00,136,Low,10,True
D000165,N24,Capital Night Buses,Special Event,2024-10-14 23:00:00,157,High,15,True
D000166,N15,StarRoute Services,Police Incident,2024-10-27 00:08:00,63,Medium,1,True
D000167,N6,StarRoute Services,Road Closure,2024-11-24 02:48:00,75,Low,3,True
D000168,N24,StarRoute Services,Special Event,2024-10-04 04:22:00,94,Medium,2,True
D000169,N28,NightLine Ltd,Road Closure,2024-12-16 03:24:00,62,Low,12,True
D000170,N22,StarRoute Services,Road Closure,2024-11-11 05:45:00,20,Low,14,True
D000171,N15,StarRoute Services,Special Event,2024-11-07 04:49:00,66,Low,14,False
D000172,N22,UrbanNight Express,Road Closure,2024-12-05 22:55:00,93,High,6,True
D000173,N30,Capital Night Buses,Accident,2024-11-20 00:46:00,135,Medium,14,True
D000174,N11,StarRoute Services,Accident,2024-10-22 02:40:00,127,Low,7,True
D000175,N3,UrbanNight Express,Flooding,2024-11-10 23:13:00,92,Low,19,True
D000176,N12,MidCity Transit,Police Incident,2024-11-21 00:05:00,73,Medium,4,False
D000177,N7,StarRoute Services,Vehicle Breakdown,2024-12-06 02:47:00,161,Medium,3,True
D000178,N5,MidCity Transit,Vehicle Breakdown,2024-11-11 04:30:00,150,High,17,True
D000179,N28,NightLine Ltd,Vehicle Breakdown,2024-11-19 22:22:00,120,Medium,15,True
D000180,N23,Capital Night Buses,Vehicle Breakdown,2024-11-10 00:50:00,22,Low,18,True
D000181,N4,Capital Night Buses,Road Closure,2024-11-10 03:31:00,149,Low,12,True
D000182,N8,MidCity Transit,Flooding,2024-11-11 04:54:00,75,Medium,1,False
D000183,N30,NightLine Ltd,Police Incident,2024-11-03 23:53:00,153,Low,3,True
D000184,N26,UrbanNight Express,Flooding,2024-10-02 04:20:00,68,High,14,False
D000185,N12,StarRoute Services,Special Event,2024-10-22 04:42:00,7,High,13,True
D000186,N14,MidCity Transit,Road Closure,2024-11-06 02:07:00,56,Medium,10,True
D000187,N30,StarRoute Services,Special Event,2024-12-12 22:28:00,11,Low,1,True
D000188,N17,UrbanNight Express,Accident,2024-11-28 23:43:00,137,Low,4,True
D000189,N7,MidCity Transit,Police Incident,2024-12-01 05:57:00,32,Medium,18,False
D000190,N24,Capital Night Buses,Special Event,2024-12-31 02:12:00,92,Medium,1,True
D000191,N3,StarRoute Services,Special Event,2024-12-30 22:43:00,95,Medium,11,True
D000192,N3,MidCity Transit,Flooding,2024-11-24 22:46:00,19,High,10,True
D000193,N28,NightLine Ltd,Accident,2024-12-16 23:04:00,95,Low,5,True
D000194,N27,Capital Night Buses,Vehicle Breakdown,2024-11-20 01:48:00,126,Low,10,True
D000195,N14,UrbanNight Express,Road Closure,2024-11-18 22:05:00,170,Low,6,True
D000196,N10,StarRoute Services,Vehicle Breakdown,2024-11-15 00:08:00,17,Low,2,True
D000197,N22,Capital Night Buses,Road Closure,2024-11-08 05:03:00,114,Medium,11,True
D000198,N1,StarRoute Services,Special Event,2024-12-25 01:57:00,64,Low,10,True
D000199,N24,NightLine Ltd,Vehicle Breakdown,2024-12-12 01:40:00,166,High,11,True
D000200,N3,Capital Night Buses,Accident,2024-12-25 00:26:00,44,Medium,10,True
D000201,N19,UrbanNight Express,Vehicle Breakdown,2024-10-25 22:01:00,31,Low,12,True
D000202,N13,StarRoute Services,Vehicle Breakdown,2024-11-30 04:58:00,116,Low,11,True
D000203,N24,Capital Night Buses,Road Closure,2024-10-17 05:50:00,17,Medium,8,True
D000204,N4,Capital Night Buses,Special Event,2024-12-22 23:23:00,55,Low,14,True
D000205,N22,UrbanNight Express,Accident,2024-10-16 02:21:00,126,Low,12,True
D000206,N12,Capital Night Buses,Accident,2024-11-20 04:20:00,148,Medium,5,True
D000207,N20,StarRoute Services,Accident,2024-12-23 05:31:00,24,Medium,10,True
D000208,N20,NightLine Ltd,Road Closure,2024-11-20 22:43:00,95,Low,6,True
D000209,N16,UrbanNight Express,Vehicle Breakdown,2024-11-29 01:15:00,59,High,10,True
D000210,N5,StarRoute Services,Special Event,2024-11-06 23:16:00,101,Medium,14,True
D000211,N19,MidCity Transit,Accident,2024-12-15 00:39:00,101,Low,15,True
D000212,N10,Capital Night Buses,Road Closure,2024-12-21 04:27:00,147,Medium,2,True
D000213,N29,MidCity Transit,Flooding,2024-12-02 23:41:00,149,Medium,3,False
D000214,N12,UrbanNight Express,Road Closure,2024-12-31 01:19:00,72,Low,6,True
D000215,N1,StarRoute Services,Special Event,2024-11-29 00:26:00,50,Medium,12,True
D000216,N5,StarRoute Services,Accident,2024-10-25 23:38:00,68,Medium,11,True
D000217,N8,MidCity Transit,Accident,2024-10-29 02:22:00,7,Medium,6,False
D000218,N4,StarRoute Services,Police Incident,2024-10-12 05:12:00,47,Medium,18,True
D000219,N18,StarRoute Services,Special Event,2024-12-12 03:54:00,87,Medium,3,True
D000220,N13,Capital Night Buses,Police Incident,2024-11-16 00:10:00,56,Low,6,False
D000221,N17,NightLine Ltd,Road Closure,2024-12-12 03:53:00,158,Medium,1,True
D000222,N11,StarRoute Services,Road Closure,2024-10-15 00:58:00,147,Low,11,True
D000223,N18,UrbanNight Express,Flooding,2024-10-10 02:54:00,134,Low,2,True
D000224,N5,MidCity Transit,Accident,2024-12-14 01:57:00,164,Low,5,True
D000225,N26,UrbanNight Express,Police Incident,2024-12-04 04:14:00,62,Low,4,True
D000226,N23,UrbanNight Express,Vehicle Breakdown,2024-10-08 01:06:00,57,Low,10,True
D000227,N10,MidCity Transit,Flooding,2024-12-02 00:20:00,133,High,13,True
D000228,N4,StarRoute Services,Flooding,2024-11-18 00:21:00,133,Low,11,False
D000229,N27,Capital Night Buses,Police Incident,2024-11-27 00:10:00,126,Medium,12,True
D000230,N9,NightLine Ltd,Road Closure,2024-10-13 23:07:00,154,Medium,2,False
D000231,N7,NightLine Ltd,Road Closure,2024-10-13 05:34:00,67,Medium,12,True
D000232,N8,Capital Night Buses,Accident,2024-12-07 22:31:00,96,Medium,15,False
D000233,N20,StarRoute Services,Vehicle Breakdown,2024-12-12 03:16:00,100,Medium,16,True
D000234,N25,UrbanNight Express,Accident,2024-11-07 22:18:00,39,Low,17,True
D000235,N25,Capital Night Buses,Flooding,2024-11-27 05:49:00,133,Medium,1,True
D000236,N30,StarRoute Services,Vehicle Breakdown,2024-11-14 03:19:00,152,Low,10,True
D000237,N20,MidCity Transit,Vehicle Breakdown,2024-10-05 05:39:00,73,Low,19,True
D000238,N4,MidCity Transit,Road Closure,2024-10-11 22:35:00,135,Medium,11,True
D000239,N20,MidCity Transit,Road Closure,2024-11-12 02:38:00,113,High,2,False
D000240,N30,StarRoute Services,Flooding,2024-10-23 05:12:00,173,Low,2,True
D000241,N27,MidCity Transit,Accident,2024-11-21 02:45:00,111,Low,7,True
D000242,N21,NightLine Ltd,Special Event,2024-11-24 23:07:00,22,Medium,16,False
D000243,N9,MidCity Transit,Special Event,2024-10-31 00:25:00,99,Low,19,True
D000244,N26,Capital Night Buses,Vehicle Breakdown,2024-12-04 04:50:00,29,Low,15,False
D000245,N25,Capital Night Buses,Flooding,2024-10-26 02:39:00,161,Low,1,True
D000246,N11,NightLine Ltd,Special Event,2024-10-29 00:36:00,101,Medium,11,True
D000247,N14,Capital Night Buses,Vehicle Breakdown,2024-12-27 05:19:00,66,Medium,17,True
D000248,N24,StarRoute Services,Special Event,2024-12-03 05:06:00,150,Low,18,True
D000249,N29,StarRoute Services,Road Closure,2024-12-05 22:23:00,69,Low,2,True
D000250,N22,StarRoute Services,Police Incident,2024-10-22 03:14:00,25,Medium,8,True
D000251,N15,UrbanNight Express,Flooding,2024-11-27 01:48:00,15,Medium,13,True
D000252,N27,StarRoute Services,Accident,2024-12-11 00:52:00,163,Low,11,True
D000253,N19,StarRoute Services,Accident,2024-12-11 04:41:00,22,High,15,True
D000254,N26,Capital Night Buses,Police Incident,2024-12-20 04:18:00,38,Medium,7,True
D000255,N27,Capital Night Buses,Flooding,2024-11-03 04:52:00,52,Medium,3,True
D000256,N13,StarRoute Services,Police Incident,2024-11-09 05:32:00,64,Medium,16,True
D000257,N17,MidCity Transit,Special Event,2024-10-01 22:37:00,88,Low,15,True
D000258,N22,NightLine Ltd,Police Incident,2024-10-24 23:41:00,51,Medium,2,True
D000259,N21,MidCity Transit,Special Event,2024-12-29 04:13:00,173,Low,18,True
D000260,N20,StarRoute Services,Police Incident,2024-11-21 04:48:00,94,High,19,True
D000261,N12,NightLine Ltd,Road Closure,2024-10-11 23:05:00,46,Low,1,True
D000262,N1,StarRoute Services,Flooding,2024-12-14 23:18:00,66,Medium,6,True
D000263,N21,MidCity Transit,Special Event,2024-10-15 02:22:00,74,Low,17,True
D000264,N18,StarRoute Services,Police Incident,2024-10-11 05:38:00,69,Low,16,True
D000265,N7,MidCity Transit,Flooding,2024-11-08 04:18:00,156,Low,11,True
D000266,N4,StarRoute Services,Accident,2024-11-18 00:25:00,27,Low,10,True
D000267,N22,StarRoute Services,Special Event,2024-12-17 00:45:00,47,Medium,11,True
D000268,N24,UrbanNight Express,Accident,2024-12-04 00:19:00,156,Medium,5,True
D000269,N26,Capital Night Buses,Police Incident,2024-10-11 23:02:00,164,Low,6,True
D000270,N9,NightLine Ltd,Police Incident,2024-10-10 02:52:00,151,Low,10,True
D000271,N16,NightLine Ltd,Special Event,2024-10-15 05:53:00,41,Low,2,True
D000272,N30,Capital Night Buses,Road Closure,2024-12-16 23:18:00,133,Low,2,True
D000273,N2,StarRoute Services,Accident,2024-10-03 23:28:00,138,Low,6,False
D000274,N22,MidCity Transit,Special Event,2024-10-16 03:47:00,84,Low,3,True
D000275,N3,Capital Night Buses,Police Incident,2024-11-20 00:44:00,131,Low,12,False
D000276,N8,UrbanNight Express,Flooding,2024-11-22 04:44:00,6,Low,5,True
D000277,N27,StarRoute Services,Accident,2024-12-22 04:39:00,95,Low,13,True
D000278,N20,MidCity Transit,Special Event,2024-11-19 03:48:00,27,High,1,True
D000279,N26,MidCity Transit,Vehicle Breakdown,2024-12-01 01:35:00,158,High,15,True
D000280,N16,StarRoute Services,Police Incident,2024-12-28 01:04:00,178,Low,19,True
D000281,N22,StarRoute Services,Special Event,2024-10-13 22:11:00,159,Low,9,True
D000282,N19,MidCity Transit,Special Event,2024-10-24 04:56:00,173,Low,8,True
D000283,N13,UrbanNight Express,Special Event,2024-12-25 05:15:00,61,Medium,16,True
D000284,N29,MidCity Transit,Accident,2024-10-14 05:43:00,8,Medium,15,True
D000285,N28,UrbanNight Express,Flooding,2024-12-02 01:49:00,145,Medium,19,True
D000286,N21,UrbanNight Express,Accident,2024-11-28 03:17:00,80,Medium,5,True
D000287,N12,MidCity Transit,Flooding,2024-11-13 02:13:00,29,Low,16,True
D000288,N27,StarRoute Services,Police Incident,2024-12-12 02:03:00,123,Medium,12,True
D000289,N25,Capital Night Buses,Accident,2024-12-21 05:16:00,21,Low,5,True
D000290,N24,NightLine Ltd,Accident,2024-12-11 03:55:00,148,High,4,True
D000291,N23,StarRoute Services,Police Incident,2024-12-11 03:43:00,126,High,10,True
D000292,N15,MidCity Transit,Flooding,2024-12-04 04:30:00,125,Low,1,True
D000293,N13,Capital Night Buses,Police Incident,2024-10-21 00:14:00,90,Low,4,True
D000294,N8,UrbanNight Express,Special Event,2024-12-26 03:23:00,66,Low,5,True
D000295,N25,StarRoute Services,Accident,2024-11-07 02:23:00,42,Low,7,True
D000296,N24,StarRoute Services,Police Incident,2024-12-05 00:01:00,21,Low,4,True
D000297,N9,Capital Night Buses,Flooding,2024-11-21 05:23:00,34,Low,13,True
D000298,N12,StarRoute Services,Police Incident,2024-12-16 05:46:00,132,High,6,True
D000299,N22,MidCity Transit,Road Closure,2024-12-04 23:05:00,143,Low,7,True
D000300,N3,StarRoute Services,Vehicle Breakdown,2024-10-15 03:28:00,106,Medium,9,True
D000301,N6,NightLine Ltd,Road Closure,2024-11-25 03:11:00,43,Medium,6,True
D000302,N17,NightLine Ltd,Road Closure,2024-10-14 23:54:00,45,Low,1,True
D000303,N2,MidCity Transit,Special Event,2024-10-21 04:03:00,53,Low,16,True
D000304,N23,UrbanNight Express,Special Event,2024-12-05 05:47:00,23,Medium,1,True
D000305,N9,MidCity Transit,Police Incident,2024-10-13 05:27:00,31,Medium,1,True
D000306,N10,StarRoute Services,Road Closure,2024-10-01 22:49:00,86,High,14,True
D000307,N18,StarRoute Services,Special Event,2024-10-15 22:49:00,74,High,8,True
D000308,N13,NightLine Ltd,Police Incident,2024-11-27 23:01:00,15,High,2,True
D000309,N27,UrbanNight Express,Flooding,2024-11-28 02:29:00,107,Low,17,False
D000310,N23,UrbanNight Express,Accident,2024-11-04 02:57:00,85,Medium,14,True
D000311,N15,NightLine Ltd,Police Incident,2024-11-22 03:31:00,152,Medium,15,True
D000312,N23,Capital Night Buses,Vehicle Breakdown,2024-12-15 04:22:00,30,Low,3,True
D000313,N14,StarRoute Services,Special Event,2024-10-18 02:56:00,133,High,16,True
D000314,N19,StarRoute Services,Vehicle Breakdown,2024-11-12 22:38:00,155,Medium,9,False
D000315,N21,Capital Night Buses,Accident,2024-10-29 01:23:00,92,High,12,True
D000316,N7,UrbanNight Express,Accident,2024-10-28 03:24:00,162,Medium,14,True
